

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

033.467  000.023  000.023: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/elixir.vim
033.490  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fennel.vim
033.516  000.015  000.015: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fish.vim
033.538  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/fusion.vim
033.567  000.015  000.015: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/gdresource.vim
033.588  000.008  000.008: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/gdscript.vim
033.609  000.008  000.008: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/glimmer.vim
033.648  000.026  000.026: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/glsl.vim
033.673  000.012  000.012: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/gomod.vim
033.702  000.017  000.017: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/graphql.vim
033.730  000.015  000.015: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/hcl.vim
033.752  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/heex.vim
033.773  000.008  000.008: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/hjson.vim
033.797  000.011  000.011: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/json5.vim
033.818  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/julia.vim
033.845  000.015  000.015: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/ledger.vim
033.867  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/nix.vim
033.897  000.012  000.012: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/prisma.vim
033.919  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/pug.vim
033.945  000.013  000.013: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/ql.vim
033.977  000.019  000.019: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/query.vim
033.999  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/surface.vim
034.021  000.009  000.009: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/teal.vim
034.044  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/tlaplus.vim
034.071  000.011  000.011: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/yang.vim
034.094  000.011  000.011: sourcing /home/tranha/.config/nvim/plugged/nvim-treesitter/ftdetect/zig.vim
034.176  000.010  000.010: sourcing /home/tranha/.config/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
034.547  007.307  006.954: sourcing /squashfs-root/usr/share/nvim/runtime/filetype.vim
034.702  000.010  000.010: sourcing /squashfs-root/usr/share/nvim/runtime/ftplugin.vim
034.848  000.008  000.008: sourcing /squashfs-root/usr/share/nvim/runtime/indent.vim
035.823  000.091  000.091: sourcing /home/tranha/.config/nvim/plugged/onedark.vim/autoload/onedark.vim
058.801  023.879  023.787: sourcing /home/tranha/.config/nvim/plugged/onedark.vim/colors/onedark.vim
059.364  000.201  000.201: sourcing /home/tranha/.config/nvim/plugged/vim-glaive/autoload/glaive.vim
061.246  000.912  000.912: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/internal/plugin.vim
061.960  000.367  000.367: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/path.vim
062.574  000.155  000.155: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/ensure.vim
063.076  000.063  000.063: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/enum.vim
063.349  000.142  000.142: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/value.vim
063.763  000.864  000.659: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/log.vim
064.206  000.193  000.193: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/json.vim
064.365  000.035  000.035: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/string.vim
064.949  000.098  000.098: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/rtp.vim
066.801  000.117  000.117: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/error.vim
067.261  000.030  000.030: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/reflist.vim
067.335  007.380  004.609: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba.vim
067.400  007.680  000.300: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/plugin.vim
068.652  000.079  000.079: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/flags.vim
070.624  000.238  000.238: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/setting.vim
070.802  001.276  001.038: sourcing /home/tranha/.config/nvim/plugged/vim-glaive/plugin/commands.vim
079.415  000.159  000.159: sourcing /home/tranha/.config/nvim/plugged/vim-maktaba/autoload/maktaba/function.vim
082.384  003.913  003.754: sourcing /home/tranha/.config/nvim/plugged/vim-codefmt/instant/flags.vim
083.534  000.050  000.050: sourcing /home/tranha/.config/nvim/settings/floaterm.vim
083.573  000.007  000.007: sourcing /home/tranha/.config/nvim/settings/glaive.vim
083.731  000.140  000.140: sourcing /home/tranha/.config/nvim/settings/key-mappings.vim
083.781  000.029  000.029: sourcing /home/tranha/.config/nvim/settings/nerdcommenter.vim
083.831  000.033  000.033: sourcing /home/tranha/.config/nvim/settings/nerdtree.vim
083.877  000.028  000.028: sourcing /home/tranha/.config/nvim/settings/vim-closetag.vim
083.941  000.048  000.048: sourcing /home/tranha/.config/nvim/settings/vimspector.vim
121.415  116.172  058.055: sourcing /home/tranha/.config/nvim/init.vim
121.431  000.071: sourcing vimrc file(s)
121.984  000.134  000.134: sourcing /home/tranha/.config/nvim/plugged/nerdTree/autoload/nerdtree.vim
122.525  000.321  000.321: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/path.vim
122.647  000.088  000.088: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/menu_controller.vim
122.730  000.052  000.052: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/menu_item.vim
122.829  000.069  000.069: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/key_map.vim
123.005  000.146  000.146: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/bookmark.vim
123.175  000.135  000.135: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/tree_file_node.vim
123.510  000.283  000.283: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/tree_dir_node.vim
123.695  000.139  000.139: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/opener.vim
123.909  000.160  000.160: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/creator.vim
123.973  000.033  000.033: sourcing /home/tranha/.config/nvim/plugged/nerdTree/lib/nerdtree/flag_set.vim
